smiles,scores
CC1=CC2=CC(=O)NC(=O)NC2C3=NCC(Br)=CC3=C1C4=CC=CC(C)=C4,-7.0
COC1=CC2=CC(=O)NC(=O)NC2C3=CCC=CC3=C1C4=CC(Cl)=CC=C4F,-7.9
CC1=CC2=CC(=O)NC(=O)NC2C3=CCC=C4CC5=C(C)C=CC=C5C1=C43,-8.2
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C=CC(F)C3=C1CC4=CC=CC(F)=C4,-7.7
C=CC=C1C=CCC(C2=CC=CC=C2)C=C1C3C=C(O)C(=O)NCN3,-6.3
CC1=CC2=CC(=O)NC(=O)NC2C3=CCCC=CC3=C1C4=CC=CC(Cl)=C4,-8.0
CC1=C2NC(=O)NC(=O)C=C2CC3=CC(C4=CC=CC=C4)C=CCC3=C1,-5.9
CC1=CC2=CC(=O)NC2C3=CC(C)(C4=CC=CC=C4)CC=C(O)C3=C1,-7.3
CC1=CC2=CC(=O)NCC2C3=C(O)CC(Cl)=C(N)C3=C1C4=CC=CC(Cl)=C4,-7.6
CC1=CC2=C(O)C(=O)NCN2C3=CCC=CC3=C1C4=CC(C)=CC=C4F,-6.7
CC1=CC=C(F)C(C2=C3C=CCC=C3C4NC(=O)NC(=O)C4C=C2)=C1,-7.1
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C=CCC3=C1NC4=CC=CC=C4F,-7.1
CC1=CC2=CC(OO)C(=O)NC2C3=C(C)CC=C(Cl)C3=C1C4=CC=CC(C)=C4,-7.4
CC1=CC2CC=CC3=CC(=O)NC(=O)NC3C2=CC(C4=CC=CC=C4)C1,-6.4
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(C4=CC=CC=C4)OCC=C(Br)C3=C1,-8.2
CC1=C2C(=C(C3=CC=CC(C)=C3)C=CC4=CC(=O)NCC(=O)C42)C(F)=CC1,-6.4
CC1=CC2=CC(=O)NC(=O)NC2C3(F)C(C)=C(C)CCC3=C1C4=CC=CC(C)=C4,-8.5
CC1=C2C(=C(C3=CC(C)=CC=C3F)C=C4CC(=O)NC(=O)NC42C)CC=C1,-7.2
CC1=CC2=CC(C)NC(=O)NC2C3=C(C)C=CC(=O)C3=C1C4=CC=CC=C4,-7.9
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(C)CC3=C1C4=CC(C)=CC=C4F,-8.4
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C(Br)=C(C)C13C4=CC=CC(C)=C4,-7.3
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(C)C=CCC3=C1C4=CC(N)=CC=C4F,-7.9
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(OCCC4=CC=CC=C4)CC3=C1,-7.0
CC1=CC2=C(O)C(=O)NC(=O)NC2C3=CC(C4=CC=CC=C4)=CC3C1,-6.6
CC1=CC2=CC(=O)NC(=O)NC2C3C(=C1C4=CC=CC(C)=C4)C=C(Cl)CC3C,-7.4
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C=CCC3)C=C1C4=CC=C5C=C45,-8.0
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C=CCC3)C=C1C4=C(N)C=CC=C4N,-8.5
O=C1C=C2C=C(O)C(C3=CC=CC(Cl)=C3)=C4C=C(Br)CC=C4C2NC(=O)N1,-6.2
CC=CC1=CC(=O)NC(=O)NC1C2=CC(C3=CC=CC=C3)CC=CC2F,-6.4
COC1=C2C=C(C)C(C3=CC(C)=CC=C3F)=C4CC=CC=C4C2NC(=O)NC1,-7.0
CC1=CC(=CCNCO)C(N)C2=CC(C3=CC=CC=C3)CC=CC2=C1,-6.4
COC1=CC2=CC(=O)NC(C)NC2C3=C(C)C=CCC3=C1C4=CC(C)=CC=C4F,-7.5
CC(C1)=CC2=CC(=O)NC(=O)NC2C3=CC(C)(C4=CC=CC=C4)CCC3=C1,-7.0
CC(N)=CC1=CC(=O)NC(=O)NC1C2=C(C)C(Br)=CCC2=CC3=CC=CC(C)=C3,-5.7
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(C)(C4=CC=CC(C)=C4)CCC3=C1,-7.2
CC1=CC2=C(O)C(=O)NCNC2C3=CC(C4=CC=CC=C4)=C(C)CC=C13,-6.5
CC1=CC2=CC(=O)NC(=O)NC2C3C(C)=C(C)CCC3=C1C4=CC(C)=CC=C4O,-8.6
CC1=CC(=O)NC(=O)NC1C2=CC(Br)=C(NNO)C2=C(C)C3=CC=CC=C3C,-5.8
CC1=CC2=CC(=O)NC(=O)NC2C=C3CC=CC3=C1C4=CC(C)=CC=C4F,-7.1
CC1=CC2=CC(=O)NC(=O)NC2CC(C=C(Cl)Cl)=C1C3=CC=CC=C3F,-7.5
CC1=CC2=CC(=O)NC(=O)NC2C3C(C)=C(C)CCC3=C1C4=CC=CC(S)=C4,-8.2
CC1=CC2=CC(=O)NC(=O)NC2C3=CC=CCC3=C1C4=CC=CC(F)=C4,-8.0
CC1=CC2=CCC(O)=CC(C3=CC=CC=C3)=C2C4NC(=O)NC(=O)C=C14,-7.0
CC1=CC2=CC(=O)NC=NC2C3=CCC(Cl)=C4NC5=CC=CC=C5C1=C34,-6.9
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(C)(C4=CC=CC=C4Br)C=CC3=C1,-6.9
CC1=CC(=CO)C(NC(N)=O)C2=CC(C3=CC=CC=C3)C=CCC2=C1,-6.7
CC1C=C2CCC(C)(C3=CC=CC=C3)C=C2C4NC(=O)NC(=O)C=C4C1,-6.6
CC1=CC2=CC(C)NC(=O)NC2C3=CC=CC3=C1C4=CC(C)=CC=C4F,-6.9
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC(O)C3=C1C4=CC=CC(C)=C4,-8.2
CC1=CCC2=C(C3=CC=CC=C3)CC=C4C=CC(=O)NC(=O)C4(O)C2=C1Br,-6.6
CC1=CC2=CC(=O)NC(=O)NC2C3=CC4=CC=CC=C4C=C(O)CC3=C1,-7.3
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C(Br)=C(C4=CC=CC(C)=C4)C3=C1,-6.1
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC=C(Cl)C3=C1C4=CC=CC(C)=C4C,-8.5
CC1=C2C(=C(C3=CC(Cl)=CC=C3F)C=CC4=CC(=O)NC(=O)NC42)CC1,-7.4
CC1=CC2=CC(=O)NC(=O)NC2CC3CC(C)=C4CC5=CC=CC=C5C1=C43,-6.6
CC1=CCC(O)=C2C1=C(C3=CC=CC(C)=C3)C(C)=CC4=CC(=O)NCC42,-7.5
CCC1=CC2=CC(=O)NC(=O)NC2C3=CC=C(Br)C3=C1C4=CC(C)=CC=C4C,-6.5
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(C)OCC3=C1C4=CC(C)=CC=C4F,-8.6
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CCC(Cl)=C3C4=CC=CC=C41,-7.3
CC1=CC2=C(O)CC(=O)NC2C3=CCC=CC3=C1C4=CC(C)=CC=C4F,-7.0
CCC1=CC=CC(C2=CCC=C(Br)C(N)=C2C3NC(=O)NC(=O)C=C3)=C1,-6.3
CC1=CC2=CC(=O)NCNC2N3C(=C1C4=CC=CC(C)=C4)C=CCC3C,-8.1
CC1=CC2=CC(=O)NC(=O)NC2CC3=C1C(C)=C(C)CC3C4=CC=CC(C)=C4,-7.4
CC1=CC2=CCNC(=O)NC2C3C(=O)C=CC3=C1C4=CC(Cl)=CC=C4F,-7.1
CC1=CC2=CC(=O)NC(=O)NC2C3=CC=CCC3=C1C4=CC(C)=C(C)C=C4F,-6.9
CC1=CC2=CC(=O)NNC2C3=CC=CCC3=C1C4=C(F)C=CC(C)=C4O,-7.6
CC1=CC2=CC(=O)NC(=O)NC2C3C(C)=C(C)CCC3=C1C4=CC=CC(C)=C4N,-8.7
CC1=CC2=CC(=O)NC(=O)NC2C(=CF)C=C1C3=CC=CC(C)=C3,-7.8
CCC=C1C(=O)NC(=O)NC1C2=C(C)CC=CC2=C(C)C3=CC=CC=C3O,-5.8
COC1=CC2=CC(=O)NC(=O)NC2C3=C(C=C1C4=CC=C5C=C45)CC=C(C)C3,-7.2
CC1=CC=2C(C3=CC=CC=C13)=C(OC=CC4=CC=BCC4)C(=O)NN(O)C=2O,10000.0
CC1=CC(=O)NC(=O)NC1C2=CC(C)(C3=CC=CC=C3)CC=CC2=CCC,-6.4
CC1=CC2=CC(=O)NC(=O)NC2C3=CC=CCC3=C1C4=CC(N)=CC=C4F,-8.4
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C=CCC3=C1C4=C(F)C=CC(C)=C4N,-8.5
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(C)=C(NC4=CC=CC=C4)C3=C1F,-6.5
CC1C=C2CNC(=O)NC2C3=CCC(C)=C4CC5=CC=CC=C5C1=C34,-8.0
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C=CC=C3C1=CC=CCCCC,-6.7
CC1=C(C2NC(=O)NC(=O)C=C2Br)C(=CC3=CC=CC(C)=C3)C(Cl)=CC1,-7.0
CC1C=C2CC=CC(C3=CC=CC=C3)C=C2C4NC(=O)NCC=C14,-6.4
CC1=CCCC2=C(C3=CC=CC(N)=C3)C(C)CC4=CC(=O)NC(=O)NC4C12,-7.2
CC1=CC2=CC(=O)NC(=O)NC2C3C(=C1C4=CC=CC(C)=C4)CCC3C,-8.2
CC1=CC2=CC(=O)NC(=O)NC2C3C(=C1C4=CC=CC=C4F)C=C(O)CC3C,-7.2
CC1=CC2=CC(=O)NC(=O)NC2C=C3C=CCCC3=C1C4=CC=CC=C4,-6.9
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(O)NNC3=C1C4=CC=CC(Cl)=C4,-8.0
CC1=CC2=CC(=O)NC(=O)NC2C3C(=C1C4=CC(C)=CC=C4F)CC=CC3C,-8.2
C=CC(CC)=C1C=C(C2=CC(C)=CC=C2F)C(C)=CC3=CC(=O)NC(=O)NC31,-7.5
CC=CC1=CC(=O)NC(=O)NC1C2=CCC(Cl)=C3NC4=CC=CC=C4C(C)=C23,-7.4
CC1=CC2=CC(O)C(=O)NC2C3=C(C)C(Br)=CCC3=C1C4=CC=CC(C)=C4,-7.4
O=C1C=C2C=C(O)C(CC3=CC(Br)=CC=C3F)=C4CC=CC=C4C2NC(=O)N1,-7.0
CC1=CC2=C(O)C(=O)NCNC2C3=CC(C4=CC=CC=C4)CC=CC3=C1C,-8.9
CC1=CC2=C(C)C(=O)NC(C)NC2C3=C(C=CCC3)C=C1C4=CC=CC=C4,-7.5
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC(Cl)=CC3=C(C)C1,-7.2
CC1=C2C(=C(C3=CC=CC(C)=C3)C(C)=C4C=CC(=O)NCN42)C=C(Cl)C1,-7.4
CCC1=C2C(=C(C3=CC(C)=CC=C3F)C(O)=CC4=CC(=O)NCNC42)CC=C1,-6.9
CC1=CC2=CCNC(=O)NC2C3=CC(OC4=CC=CC=C4)CC=CC3=C1,-7.0
CC1=CC2=CC(=O)NC(=O)NC2C3=CCCC(C)=C(F)C3=C1C4=CC=CC(C)=C4,-8.5
CC1=C2C(=C(C3=CC=CC=C3F)C=CC4=CC(=O)NC(=O)NC42)C(C)C1,-7.2
CC1=C2C3NC(=O)NC(=O)C=C3C=CC2(NC4=CC=CC(C)=C4)CC=C(Cl)C1,-6.5
CCC1=CC=CC(C2=C3C(N)=CCC=C3C4NC(=O)NC(=O)C=C4C=C2Br)=C1,-7.1
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C=CNC3=C1C4=CC=CC(C)=C4,-8.2
CC1=CCC2=CC(CC3=CC=CC=C3)=CC4=C(O)C(=O)NCNC4C2=C1,-6.9
C=CC(C)=CC1=CC(=O)NC(=O)NC1C2=CC(C)(C3=CC=CC=C3)CCC2,-6.8
CC1=CC=CC(C2=C3CC=CC(C)N3C4NC(=O)NC(=O)C=C4CN2)=C1C,-7.1
CC1=C2C(=C(C3=CC(C)=CC=C3F)C(C)=CC4=CCNC(=O)NC42)CC=C1,-7.5
CC1=CC2=CC=C3CC=CC(C4=CC=CC=C4)C=C3C2NC(=O)N1,-6.8
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(Br)=C(CNC4=CC=CC=C4NO)C3=C1,-6.1
CC1=CC2=CC(O)CNC2C3=CC(C4=CC=CC=C4)C=CCC3=C1,-7.7
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(C4=CC=CC=C4)C(Br)=CC3=C1,-7.3
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C=CC=C3C1=C4CCC=C(Cl)C=C4,-6.9
CC1=C(C)C2C(=C(C3=CC=CC(N)=C3)C=CC4=CC(=O)N=CNC42)CC1,-7.5
CC=C1C=C2CC=C(C3=CC=CC=C3)C=C2C4NC(=O)NCC(O)=C4C1,-6.6
CC=C1C(=C(C2=CC(C)=CC=C2F)CC=CC3=CC(=O)NCNC3)CC=C1,-6.1
CC1=CC2=CC(=O)NC(=O)NC2C3=CNC(C)(C4=CC=CC=C4)CCOC3=C1,-6.1
CC1=CC=CC(C2=C3C=CCC=C3C4NC(=O)NC(=O)C=C4C(N)=CC2)=C1,-7.3
CC1=CC2=C(O)C(=O)NCNC2C3=C(CC4=CC=CC=C4)CCSC3=C1,-6.2
C=C1C(=O)NC(=O)NC2C1C=C(C)C(C3=CC=CC(C)=C3)=C4C=CCC(C)N42,-7.0
CC1=CC(=C=O)C(NC(N)=O)C2=CC=CCC2=C1C3=CC(C)=CC=C3F,-6.4
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC=CC3=C1C4=CC(Cl)=CC=C4N,-8.0
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(C)(C4=CC=CC=C4)CC=CC13,-7.1
CC1=CC2=CC(=O)NC(=O)NC2C3=CCC(C)=C4CC5=CC=CC(N)=C5C1=C34,-8.1
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C=C(O)C(F)C3=C1C4=CC=CC(C)=C4,-8.0
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC=CC3=C1C4=CC(Cl)=CC=C4S,-6.9
CC1=CCC(C)=C2C1=C(C3=CC=CC=C3)C(C)=CC4=CC(=O)NC(=O)NC42,-7.2
COC1=CC2=CC(=O)NC(=O)NC2C3=C(C=CCC3)C=C1C4=CC=C(C)C4,-6.9
CCC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C=CC(Br)C3=C1C4=CC=CC=C4,-8.0
CCC1C2=CC(=O)NC(=O)NC2C3=C(C)CC=C(F)C3=C1C4=CC=CC(C)=C4,-7.7
CC1=C2C(=CC(CCC3=CC=CC(C)=C3)=CC4=CC(=O)NC(=O)NC42)C(F)=CC1,-6.9
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C=CCC3=C1C4=CC=C(Br)C=C4F,-6.1
CC1=C2C(=C(C3=CC(C)=CC=C3F)C(C)C4=CC(C)NC(=O)NC42)C=CC1,-8.1
COC1=CC2=CC(=O)NC(=O)NC2C3=C(C=CCC3)C=C1C=CC4=CC4=O,-6.5
C=C1C=C2CC=C(C3=CC=CC=C3)C=C2C4NC(=O)NC(=O)C(O)=C4C1,-7.1
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C(C)CC3=C1C4=CC=CC(Cl)=C4,-8.2
COC1=C2C=C(C)C(C3=CC=CC(C)=C3)=C4C=CCC(C)N4C2NC(=O)N1,-7.7
CC1=CC(Cl)C(N)C2=CC(C3=CC=CC=C3)CC=CC2=C1,-6.7
C=C1C2=CC(=O)NC(=O)NC2C3=C(C)CC(Cl)=CC3=C(C4=CC=CC(C)=C4)C1C,-6.8
CC1=CC2=C(C)C(=O)NC(O)C2C3=C(C=CCC3)C=C1C4=CC=CC=C4,-7.1
CC1=CC2=CC(=O)NC(=O)NC2C3=CCN=C(N)C3=C1C4=CC(C)=CC=C4N,-7.2
CC1=CC=C(NC(=O)N2C1=O)C(C3=CC=CC=C3)=CCC2=C,-6.5
C1C2=CC(C)=C(O)C3=CC(=O)NCNC3C2=CC(C4=CC=CC=C4)C=C1,-5.9
CC1=CC2=CC(=O)NC(=O)NC2C3C(C)C(C)(C)CCC3=C1C4=CC=CC(C)=C4,-7.3
CC1=CCC2=C(C3=CC=CC=C3O)C(C)=CC4=CC(=O)NC(=O)NC4(O)C2=C1Br,-8.5
CC1=CC2=C(O)CNC(=O)NC2C3=CC(C4=CC=CC=C4)CC=CCC3=C1,-7.7
CC1=C(O)C2=CC(=O)NCN2C3=CC(C4=CC=CC=C4)=CCC3=C1,-7.5
C=C1C(=O)NC(=O)NC2C3=CCC(Cl)=C(N)C3=C(C4=CC=CC(Cl)=C4)C(C)=CC12,-6.4
CC1=CC2=CC(=O)NONC2C3=CCC=CC3=C1C4=CC(C)=CC=C4F,-8.3
CC1=CC2=CCC(=O)NC2C3=CC(C4=CC=CC(F)=C4)CC=CC3=C1,-8.0
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(C)=C(Br)C3=C1C4=CC=CC(Cl)=C4,-6.5
CC1=CC2=C(O)C(=O)NCNC2C3=CC(C4=CC=C(C)C=C4)=CCC3=C1,-7.1
CC1=CC2=CC(=O)NC(=O)NC2C3=CC=CC(Br)C3=C1C4=CC=CC(Cl)=C4,-6.6
CC1=C2CC3=CC=CC=C3C4=C2C(=CC1)CC5=CC(=O)NC(=O)NC5C4,-7.6
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC(Cl)=CC3=C1C4=CC=CC(C)=C4F,-8.6
CC1=CCC2NC(=O)N(C)C2C3=CCC=CC3=C1C4=CC(C)=CC=C4F,-6.7
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC(C4=CC(C)=CC=C4Cl)=CC3=C1,-6.9
CC1=CC2=CC(=O)NC(=O)NC2(C)C3=CCC=C(Cl)C3=C1C4=CC=CC(C)=C4,-6.5
CC1=CC2=CC(=O)NCNC2C3=CC(C4=CC=CC=C4)CC(O)=C(Cl)C3=C1,-8.0
CC1=CC2=CC(=O)NC(=O)NCC2C3=C(O)C=CCC3=C1C4=CC(C)=CC=C4F,-7.4
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC(Br)=CCC3=C1C4=CC=CC=C4,-7.9
CC1=CC2=CC(O)NC(=O)NC2C3=C(C)CC(Cl)=CC3=C1C4=CC=CC(C)=C4,-8.2
CC1=C2C(=C(C3=CC=CC=C3O)CC=CC4=CC(=O)NC(=O)NC42)C(Cl)C=C1,-6.6
CC1=C2C(=C(C3=CC(C)=CC=C3F)C=CC4C(=O)NC(=O)N(C)C24)CC=C1,-7.3
CC1=CC2=C(C)C(=O)NC(=O)NC2C3=C(C=CCC3)C=C1C4=CCC=C4,-8.4
CC1=CC2=CC(=O)NC(=O)NC2C3=CCC(Cl)=C(N)C3=C1C4=CC=CC(Cl)=C4,-8.7
CC1=CC2=C(O)CNC(=O)NC2C3=CC(C4=CC=CC=C4)C=C(C)CC=C13,-6.8
CC1=CC2=CC(=O)NC(=O)NC2C=C3CC=CC(F)C3=C1C4=CC=CC=C4,-7.0
C=CC1=CC(=O)NC(=O)NC1C2=CC=C(Br)C(C3=CC=CC(C)=C3)C=C2,-7.0
CC1=CC(=O)NC(=O)NC1C2=CCC(C)=C3CC4=CC=CC=C4C=C23,-7.3
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(Br)=C(O)C3=C1OC4=CC=CC=C4,-6.5
CC1=CC2=C(O)C(=O)NC(=O)NC2C3=C(C=CCC3)C=C1C4=CC=CC=C4,-8.3
CC1=CCC(C)=C2C1=C(C3=CC=CC(C)=C3)C(O)=CC4=CC(=O)NCNC42,-7.4
CC1=CC=C2CC(O)=CC(C3=CC=CC=C3)C2C4NC(=O)NC(=O)C=C14,-7.0
CC1=C2C=C(O)C(=O)N(C)NC2C3=CC(C4=CC=CC=C4)=CCC3=C1,-5.4
CC1=CCC(NC(=O)NC#N)C2=C(C)C=CCC2=C1C3=CC(N)=CC=C3F,-5.2
CN1C(=O)C=C2C=C(C)C=C3CC=C(C4=CC=CC=C4)C=C3C2N1O,-6.0
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C=C(C)C3=C1C4=CC(C)=CC=C4F,-8.3
CC=CC1=CC(=O)NC(=O)NC1C2=C(C)CC=CC2=CC3=CC(Cl)=CC=C3F,-6.3
CC=CC1=CC(=O)NC(=O)NC1C2=CC(C3=CC=CC=C3)C(C)=C(Br)C=C2,-7.0
CCOC1=CC(C)=CC2=CC(=O)NC(=O)NC2C1=CCCC3=CC=CC=C3,-6.6
CC1=CC2=CC(=O)NC(=O)NC2C3=CCC(C)=C4C3=C1C5=CC=CC=C54,-7.2
CC1=CC2=C(O)C(=O)NCNC2C3=CC(C4=CC=CC=C4)CC3C1,-6.2
CC1=C(O)C2=CC(=O)NCNC2C3=CC(=CCl)CCC3=C1C4=CC=CC(C)=C4,-7.6
CC1=CC2=CC(=O)NC(=O)NC2C3C(C)=C(C)CCC3=C1C4=CC=CC(N)=C4N,-8.6
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(C)(C4=CC=CC=C4)CC(=O)C3=C1,-8.5
CC=CC1=CC(=O)NC(=O)NC1C2=C(C)CC=C(F)C2=C(Cl)C3=CC(C)=CC=C3O,-6.2
CC1=CC2=CC(=O)NC(=O)NC2C3=C4C=CC=CC=C4CC=C(Br)C3=C1,-7.5
CCC1=C(C)CCC2=C(CC3=CC=CC=C3)C(N)=CC4=CC(=O)NC(=O)NC4C21,-6.9
CC1=CC2=CC(=O)NC(=O)NC2C3=CC=CCC3=C1C4=CC(C)=CC(Br)=C4F,-7.5
CC1=CC2=CC(=O)NC(=O)NC2C=C3C=C(C4=CC(C)=CC=C4F)CC13,-6.5
CC1=CC2=CC(=O)NC(=O)NC2C3=CCC(Cl)=C(N)C3=C1C4=CC=C(Br)C(C)=C4,-5.8
CCC1=CC=CC(C2=C3C(=C(Br)C=CC3Cl)C4NC(=O)NC(=O)C4=CC2)=C1,-7.0
CC1=CC2=CC(=O)NCNC2(O)C3=C(O)C(Br)=C(C)C3=C1C4=CC=CC=C4,-7.1
CC1=CC2=CC(=O)NC(=O)NC2C3CCC(Cl)=CC3=C1C4=CC=CC=C4F,-8.1
CC=CC=C1CC=CC(C2=CC=CC=C2)C=C1C3C=CC(=O)NC(=O)N3,-6.5
CC1=C2C(=CC(CC3=CC=CC(O)=C3)C=C4C(=O)NC(=O)NC42)C=CC1,-8.4
C=CC(F)C1=C(C2=CC=CC(C)=C2)C(C)=CC3=CC(=O)NC(=O)NC3C1=CCl,-7.6
CCC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC=CC3=C1CC4=CC=CC(F)=C4,-7.2
CC1=CC2=C(O)C(=O)NCNC2C3=C(CC4=CC=CC=C4)C=CCNC3=C1,-6.1
CC1=CC2=CC(=O)NC(=O)NC2C3=CCC(C)C(C)=C3C4=CC(Cl)=CC=C41,-6.6
CC1=CC2=CC(=O)NC(=O)NC2C3=C(CC4=CC=CC=C4)C=CC(Cl)C3=C1C,-7.3
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC(Cl)C=C3C4=CC(C)=CC=C41,-6.8
CCCC1=CCC2=C(C3=CC=CC(C)=C3)C(C)=CC4=CC(=O)NC(=O)NC4C2O1,-7.2
CC1C=C2C=C(OO)C(C3=CC=CC=C3F)=CC4=C(CCC=C4)C2NC(=O)N1,-8.3
O=C1C=CC2=CCC=C3C=CCC(C4=CC=CC=C4F)C=C3C2NC1=O,-5.9
CC1=CC2=CC(=O)NC(=O)NC2C3=CC(Br)=CC3C1C4=CC=CC(C)=C4,-6.5
CC1=CCC(N)C2=CC(C3=CC=CC=C3)C=CCC2=C1,-6.6
C=CC(C)=C1C(C)=C(C2=CC(C)=CC=C2F)C(C)=CC3=CC(=O)NC(=O)NC31,-7.9
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C=CC(F)C3=C(C4=CC=CC=C4)C1,-6.8
CC1=CC=CC=C1C2=CC3=CC(=O)NC(=O)NC3C(=CBr)CC2,-6.9
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC(C)=C(F)C3=C1C4=CC=CC(C)=C4,-7.6
CC1=CCC2=C(C3=CC=CC=C3)C(C)=CC4=CC(=O)NC(=O)C4(OO)C2=C1Br,-7.2
CC1=CC2=CONC(=O)NC2C3=CC=C(Br)CC3=C1C4=CC=CC(C)=C4,-7.6
CC1=C2C(=C(C3=CC=CC(C)=C3)CC=CC4=CC(=O)NC(=O)NC42)C(Br)=C1,-6.8
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C(C)C(C)C3=C1C4=CC=CC(C)=C4,-8.6
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)C=CC4C3=C1C5=CC(N)=CC=C54,-6.5
CC1=C2C(=C(C3=CC=CC=C3F)C=CC4=CC(=O)NC(=O)C42)C=C(Cl)C1,-6.7
C=C1C2=CC(=O)NC(=O)NC2C3=CC(C4=CC=CC=C4F)CC=C(Cl)C3=C1,-6.4
CC1=CC2=CC(=O)NC(=O)NC2C3=CCN=C(N)C3=C1C4=CC=C(C)C(Cl)=C4,-6.5
CC1=CC2=C(O)CNC(=O)NC2C3=C(CC4=CC=CC=C4)C=CC=CC3=C1,-7.2
